salary,years,clause,employs,isEmployedBy,,
12886307,4,"""No-trade Clause""",45,26,,0.920719708
10911056,5,"""Amnesty Clause""",118,16,,0.756250559
11764053,1,"""Rose Clause""",513,1,,0.035381255
5485359,3,"""Team Option""",315,25,,0.389067305
6224189,1,"""Player Option""",401,29,,0.241473757
2057588,1,"""No-trade Clause""",41,1,,0.925905157
12169749,5,"""Amnesty Clause""",437,28,,0.16398674
15458178,1,"""Rose Clause""",93,23,,0.812342382
2158722,4,"""Team Option""",154,22,,0.688842975
3128011,1,"""Player Option""",20,29,,0.97005596
10985264,3,"""No-trade Clause""",21,23,,0.968972131
11732224,4,"""Amnesty Clause""",18,26,,0.970510353
5041183,2,"""Rose Clause""",326,10,,0.374131099
16959161,2,"""Team Option""",141,28,,0.709367652
11712722,3,"""Player Option""",382,6,,0.28564952
16410484,4,"""No-trade Clause""",81,27,,0.849110571
2747065,3,"""Amnesty Clause""",255,9,,0.513365099
10897056,3,"""Rose Clause""",299,17,,0.424307862
4985623,4,"""Team Option""",499,5,,0.062699341
4892648,4,"""Player Option""",147,4,,0.700353701
6060120,4,"""No-trade Clause""",347,11,,0.342116239
2696994,1,"""Amnesty Clause""",397,19,,0.251564657
4821892,5,"""Rose Clause""",84,9,,0.84224441
9327436,5,"""Team Option""",155,30,,0.688472475
14731361,2,"""Player Option""",474,3,,0.099534252
6852088,5,"""No-trade Clause""",363,14,,0.313750068
9198193,4,"""Amnesty Clause""",472,20,,0.102048056
13779888,5,"""Rose Clause""",515,29,,0.024248231
6173320,4,"""Team Option""",115,23,,0.758642867
10331443,5,"""Player Option""",476,24,,0.097818833
17849672,4,"""No-trade Clause""",463,21,,0.124151346
6904510,2,"""Amnesty Clause""",24,8,,0.964406835
6243434,5,"""Rose Clause""",415,7,,0.213164189
8639659,5,"""Team Option""",526,16,,0.002749332
9486496,2,"""Player Option""",351,11,,0.338113319
8331167,1,"""No-trade Clause""",325,30,,0.37455029
6543643,1,"""Amnesty Clause""",248,4,,0.520629303
15530040,4,"""Rose Clause""",1,11,,0.998385499
17132830,2,"""Team Option""",502,22,,0.053475502
14164163,2,"""Player Option""",240,8,,0.534597685
5191194,4,"""No-trade Clause""",523,8,,0.007597414
17750115,4,"""Amnesty Clause""",2,19,,0.996962906
4152930,4,"""Rose Clause""",354,28,,0.330069451
11170286,2,"""Team Option""",86,28,,0.832716506
16412407,4,"""Player Option""",478,22,,0.096608016
6120952,2,"""No-trade Clause""",104,29,,0.783760386
6698001,3,"""Amnesty Clause""",72,4,,0.861122035
2765451,3,"""Rose Clause""",57,9,,0.897656258
8165756,5,"""Team Option""",74,10,,0.859014859
11372207,4,"""Player Option""",281,14,,0.462218492
14975828,3,"""No-trade Clause""",467,11,,0.115995051
8301211,1,"""Amnesty Clause""",413,2,,0.2148687
11460197,4,"""Rose Clause""",219,7,,0.586890492
5667460,3,"""Team Option""",101,28,,0.792870744
10513360,3,"""Player Option""",44,26,,0.921479622
14221767,2,"""No-trade Clause""",244,6,,0.530268823
10777979,4,"""Amnesty Clause""",511,26,,0.03634154
11281125,3,"""Rose Clause""",208,6,,0.600512258
5820433,3,"""Team Option""",169,8,,0.665077047
3919442,5,"""Player Option""",212,21,,0.597527741
6334447,1,"""No-trade Clause""",78,19,,0.851642516
3299546,5,"""Amnesty Clause""",504,12,,0.051066344
13218156,2,"""Rose Clause""",439,27,,0.159745462
5577995,4,"""Team Option""",250,14,,0.518061014
8726375,2,"""Player Option""",226,9,,0.575337997
10053591,1,"""No-trade Clause""",73,24,,0.85971822
17166320,4,"""Amnesty Clause""",79,1,,0.850922658
2736403,4,"""Rose Clause""",330,3,,0.370075255
11999694,5,"""Team Option""",341,30,,0.351940881
15400792,5,"""Player Option""",221,7,,0.586074675
16886665,2,"""No-trade Clause""",26,26,,0.96146622
3608904,1,"""Amnesty Clause""",328,27,,0.37242436
12451861,5,"""Rose Clause""",428,21,,0.180461084
7704141,3,"""Team Option""",296,1,,0.428705738
7549752,4,"""Player Option""",366,20,,0.311397023
14783547,2,"""No-trade Clause""",207,16,,0.601083782
15486570,5,"""Amnesty Clause""",378,9,,0.293401697
7262022,3,"""Rose Clause""",268,10,,0.482747715
7789275,2,"""Team Option""",144,2,,0.708305122
18120597,3,"""Player Option""",105,5,,0.782414137
14969833,5,"""No-trade Clause""",142,12,,0.709124574
19343702,5,"""Amnesty Clause""",332,19,,0.363681371
13309329,4,"""Rose Clause""",195,9,,0.61693222
4114825,4,"""Team Option""",117,22,,0.757233416
14288461,4,"""Player Option""",418,11,,0.201626907
7913305,2,"""No-trade Clause""",260,24,,0.501787839
12245331,5,"""Amnesty Clause""",355,25,,0.325735175
10772700,4,"""Rose Clause""",465,12,,0.119726923
7487962,3,"""Team Option""",121,13,,0.75413298
10232849,1,"""Player Option""",334,30,,0.362191666
2060702,3,"""No-trade Clause""",307,28,,0.402434435
6911671,5,"""Amnesty Clause""",329,29,,0.37020837
11957798,5,"""Rose Clause""",133,5,,0.726217311
2037079,3,"""Team Option""",110,18,,0.776379396
7045715,4,"""Player Option""",494,22,,0.06955686
18004134,2,"""No-trade Clause""",495,21,,0.068899614
2619401,5,"""Amnesty Clause""",157,7,,0.683792887
10909153,2,"""Rose Clause""",42,17,,0.923675834
13247003,5,"""Team Option""",395,6,,0.257020083
8789229,1,"""Player Option""",113,21,,0.765485403
11095015,5,"""No-trade Clause""",51,11,,0.907776192
2711142,3,"""Amnesty Clause""",132,8,,0.730708674
7296805,5,"""Rose Clause""",103,8,,0.785525938
16316149,2,"""Team Option""",258,20,,0.504589271
6931040,2,"""Player Option""",420,27,,0.199553394
15168552,5,"""No-trade Clause""",506,8,,0.046715008
8382001,2,"""Amnesty Clause""",67,7,,0.873394601
14346407,3,"""Rose Clause""",126,17,,0.742922175
4238245,4,"""Team Option""",284,6,,0.460893511
14936715,1,"""Player Option""",422,20,,0.198965583
4400769,1,"""No-trade Clause""",421,3,,0.199513276
2296140,2,"""Amnesty Clause""",149,17,,0.697607611
14325372,4,"""Rose Clause""",98,15,,0.799218011
3792563,5,"""Team Option""",345,2,,0.349272795
19546122,1,"""Player Option""",139,28,,0.712753288
14382826,3,"""No-trade Clause""",424,25,,0.196017358
6129722,1,"""Amnesty Clause""",218,16,,0.5884247
9915830,2,"""Rose Clause""",271,30,,0.478390811
19948732,2,"""Team Option""",383,8,,0.280236567
15209645,2,"""Player Option""",444,1,,0.154798305
16976258,3,"""No-trade Clause""",322,13,,0.378925885
5785865,2,"""Amnesty Clause""",411,1,,0.223634228
17888547,1,"""Rose Clause""",238,22,,0.536706892
15336689,1,"""Team Option""",54,20,,0.901041454
11394153,4,"""Player Option""",426,18,,0.195268969
15814733,4,"""No-trade Clause""",176,24,,0.641566396
7424122,2,"""Amnesty Clause""",443,10,,0.155722754
17520575,4,"""Rose Clause""",249,5,,0.518877561
8855694,4,"""Team Option""",302,7,,0.416379337
15676968,5,"""Player Option""",432,3,,0.176060054
9517088,2,"""No-trade Clause""",150,23,,0.697301635
5850211,5,"""Amnesty Clause""",520,18,,0.016029687
18994004,1,"""Rose Clause""",204,7,,0.606081638
13116165,5,"""Team Option""",27,12,,0.958091859
4759146,5,"""Player Option""",291,20,,0.432489982
6607007,5,"""No-trade Clause""",257,11,,0.50636306
2781725,4,"""Amnesty Clause""",263,3,,0.494394008
13284540,2,"""Rose Clause""",210,11,,0.59821241
9578122,5,"""Team Option""",148,14,,0.699929367
8178357,5,"""Player Option""",340,5,,0.352350011
12594825,3,"""No-trade Clause""",403,25,,0.239051563
17684850,3,"""Amnesty Clause""",50,11,,0.90805552
12137210,3,"""Rose Clause""",273,1,,0.476451926
16660542,3,"""Team Option""",12,6,,0.983980791
12756903,1,"""Player Option""",182,18,,0.635716212
13404512,4,"""No-trade Clause""",37,29,,0.938899991
19685043,4,"""Amnesty Clause""",70,24,,0.863472109
2239770,2,"""Rose Clause""",433,16,,0.175888561
7594163,2,"""Team Option""",232,26,,0.55766678
16103854,5,"""Player Option""",388,30,,0.266227915
10176626,2,"""No-trade Clause""",40,1,,0.92592756
3551427,4,"""Amnesty Clause""",446,16,,0.154001678
3085590,2,"""Rose Clause""",231,4,,0.560209398
2569861,1,"""Team Option""",64,8,,0.884403494
9501011,5,"""Player Option""",416,7,,0.211093831
6819989,3,"""No-trade Clause""",480,9,,0.096046422
11987474,2,"""Amnesty Clause""",22,18,,0.968906677
14135836,3,"""Rose Clause""",321,30,,0.379046367
13358655,2,"""Team Option""",272,6,,0.478267646
5840118,5,"""Player Option""",454,23,,0.135834221
14588815,1,"""No-trade Clause""",306,18,,0.406102725
11900729,1,"""Amnesty Clause""",512,20,,0.035672628
15189942,1,"""Rose Clause""",91,27,,0.814149069
10437893,5,"""Team Option""",280,7,,0.463486976
16382902,5,"""Player Option""",333,29,,0.363620517
19447112,2,"""No-trade Clause""",252,24,,0.516292386
13049504,1,"""Amnesty Clause""",379,10,,0.292840166
15227737,4,"""Rose Clause""",392,15,,0.263551631
19660035,1,"""Team Option""",508,10,,0.044900505
19462236,2,"""Player Option""",373,24,,0.302234596
14928167,1,"""No-trade Clause""",191,29,,0.622109289
16660092,3,"""Amnesty Clause""",80,18,,0.849228073
14279480,1,"""Rose Clause""",140,28,,0.712740895
12779484,4,"""Team Option""",209,16,,0.599435587
15397952,3,"""Player Option""",335,28,,0.361204051
17704191,2,"""No-trade Clause""",456,19,,0.132570437
5220243,2,"""Amnesty Clause""",423,1,,0.196781418
11436103,2,"""Rose Clause""",292,27,,0.432183464
5459432,5,"""Team Option""",246,11,,0.526151807
8598652,1,"""Player Option""",175,10,,0.645005073
4624259,1,"""No-trade Clause""",317,29,,0.386038279
19856884,5,"""Amnesty Clause""",222,27,,0.583223816
6412215,1,"""Rose Clause""",111,20,,0.774373153
6949229,3,"""Team Option""",55,12,,0.900560354
7634603,4,"""Player Option""",279,5,,0.464684369
5112815,5,"""No-trade Clause""",35,28,,0.943926105
6057074,5,"""Amnesty Clause""",49,11,,0.91038295
3791480,5,"""Rose Clause""",11,25,,0.985819263
12189088,2,"""Team Option""",213,24,,0.595987671
16169177,2,"""Player Option""",225,13,,0.578256474
13435703,5,"""No-trade Clause""",68,9,,0.869839975
6000761,4,"""Amnesty Clause""",201,5,,0.609411655
17572486,1,"""Rose Clause""",394,3,,0.257736247
15844272,2,"""Team Option""",25,4,,0.962804818
17580299,3,"""Player Option""",323,30,,0.37838263
5977035,2,"""No-trade Clause""",181,7,,0.636902753
10411855,1,"""Amnesty Clause""",402,29,,0.239775594
6751219,2,"""Rose Clause""",468,24,,0.110632608
9247685,5,"""Team Option""",166,5,,0.67224899
18623445,2,"""Player Option""",525,8,,0.004307841
