year,picks,drafts,isDraftedBy,,0.292781895
2002,19,451,13,,0.117360396
2000,57,311,22,,0.424614475
2002,28,489,11,,0.063977802
2006,18,201,11,,0.647491968
2004,37,325,29,,0.406262039
2004,12,376,29,,0.28309381
2007,22,257,20,,0.517569014
2006,6,111,10,,0.804440723
2003,46,474,6,,0.081603221
2000,10,164,9,,0.705766296
1999,39,366,9,,0.296890023
2002,24,157,27,,0.723170173
2003,19,523,24,,0.008455958
2003,37,77,9,,0.884845648
2005,49,158,2,,0.722028426
2008,15,237,10,,0.564382767
2002,17,190,24,,0.664257708
2004,11,386,2,,0.252618945
2008,27,146,27,,0.745944565
2003,31,119,26,,0.790102729
2000,31,354,24,,0.315885637
2001,36,95,14,,0.845625605
2005,51,368,3,,0.293513792
2003,6,327,14,,0.396376358
1999,29,212,22,,0.622080544
1999,14,123,8,,0.786115402
2004,39,495,22,,0.052388065
2003,50,404,28,,0.221193835
2003,5,64,24,,0.904301134
1999,37,229,29,,0.586967003
2006,26,97,24,,0.838666661
2008,3,90,13,,0.860225721
2006,40,439,25,,0.148049508
2002,45,35,18,,0.94878427
2003,57,197,12,,0.655097863
2002,8,445,18,,0.130384465
2003,48,426,9,,0.176862815
2005,46,130,15,,0.772689245
2002,34,209,3,,0.626086666
2007,48,326,14,,0.40253137
1999,4,185,6,,0.670051159
2000,51,31,8,,0.958737317
2000,13,204,26,,0.641391904
2000,37,231,30,,0.586109027
1999,35,27,7,,0.962184939
2000,14,160,25,,0.717459169
2001,6,92,10,,0.853381873
1999,7,223,26,,0.603184338
2003,20,283,7,,0.482473018
2003,33,265,4,,0.507467463
2002,7,224,16,,0.602898734
2007,32,492,11,,0.060839973
1999,16,126,14,,0.779176566
2002,28,154,12,,0.729406015
2007,11,418,8,,0.195414821
2000,2,353,1,,0.321706995
1999,47,377,9,,0.281832377
2007,41,103,27,,0.826729148
2005,31,266,20,,0.507453155
2000,38,481,25,,0.071951286
2000,10,415,10,,0.199326041
2002,55,193,8,,0.658254081
2005,27,483,12,,0.069265412
1999,27,295,30,,0.461336982
