home,win,score,participates,isParticipatedBy
1,1,100,1,12
1,1,123,2,5
1,1,86,3,5
1,1,110,4,15
1,1,100,5,9
1,1,80,6,24
1,1,110,7,11
1,1,82,8,20
1,1,102,9,4
1,1,84,10,23
1,1,115,11,10
1,1,89,12,24
1,1,91,13,30
1,1,88,14,16
1,1,123,15,17
1,1,105,16,6
1,1,111,17,29
1,1,94,18,7
1,1,112,19,27
1,1,99,20,16
1,1,120,21,18
1,1,81,22,29
1,1,88,23,22
1,1,105,24,2
1,1,84,25,21
1,1,129,26,12
1,1,119,27,13
1,1,99,28,15
1,1,120,29,4
1,1,94,30,2
1,1,96,31,25
1,1,101,32,4
1,1,90,33,13
1,1,95,34,18
1,1,130,35,5
1,1,96,36,23
1,1,128,37,30
1,1,82,38,14
1,1,130,39,25
1,1,101,40,29
1,1,89,41,21
1,1,125,42,12
1,1,105,43,28
1,1,107,44,9
1,1,102,45,16
1,1,94,46,20
1,1,130,47,18
1,1,106,48,5
1,1,84,49,8
1,1,125,50,7
1,1,84,51,3
1,1,100,52,16
1,1,94,53,17
1,1,84,54,5
1,1,111,55,30
1,1,119,56,28
1,1,129,57,10
1,1,105,58,16
1,1,124,59,27
1,1,130,60,30
1,1,102,61,13
1,1,94,62,21
1,1,116,63,23
1,1,116,64,26
1,1,126,65,10
1,1,107,66,4
1,1,115,67,21
1,1,92,68,29
1,1,97,69,7
1,1,121,70,6
1,1,96,71,30
1,1,96,72,9
1,1,92,73,16
1,1,116,74,5
1,1,84,75,29
1,1,86,76,13
1,1,83,77,12
1,1,118,78,3
1,1,112,79,28
1,1,109,80,12
1,1,89,81,29
1,1,90,82,16
1,1,87,83,10
1,1,81,84,13
1,1,116,85,7
1,1,100,86,22
1,1,96,87,3
1,1,89,88,11
1,1,113,89,3
1,1,130,90,13
1,1,116,91,21
1,1,116,92,14
1,1,120,93,11
1,1,90,94,9
1,1,94,95,16
1,1,130,96,18
1,1,129,97,30
1,1,89,98,15
1,1,104,99,8
1,1,99,100,8
1,1,129,101,27
1,1,110,102,16
1,1,127,103,10
1,1,102,104,12
1,1,111,105,27
1,1,128,106,10
1,1,113,107,13
1,1,96,108,16
1,1,88,109,6
1,1,94,110,30
1,1,101,111,13
1,1,120,112,23
1,1,96,113,3
1,1,86,114,29
1,1,81,115,8
1,1,84,116,15
1,1,125,117,7
1,1,106,118,5
1,1,125,119,1
1,1,115,120,8
1,1,92,121,16
1,1,118,122,4
1,1,96,123,12
1,1,81,124,28
1,1,124,125,23
1,1,87,126,3
1,1,100,127,15
1,1,95,128,18
1,1,82,129,11
1,1,125,130,20
1,1,91,131,23
1,1,96,132,14
1,1,98,133,18
1,1,106,134,6
1,1,101,135,22
1,1,89,136,12
1,1,129,137,26
1,1,101,138,20
1,1,121,139,11
1,1,97,140,5
1,1,80,141,10
1,1,114,142,27
1,1,95,143,15
1,1,100,144,30
1,1,96,145,8
1,1,116,146,15
1,1,128,147,30
1,1,110,148,14
1,1,88,149,6
1,1,85,150,30
1,1,123,151,1
1,1,103,152,26
1,1,130,153,9
1,1,88,154,27
1,1,129,155,17
1,1,98,156,26
1,1,118,157,18
1,1,85,158,23
1,1,120,159,15
1,1,111,160,13
1,1,80,161,2
1,1,104,162,1
1,1,82,163,12
1,1,101,164,20
1,1,109,165,3
1,1,108,166,11
1,1,85,167,10
1,1,122,168,13
1,1,96,169,2
1,1,86,170,25
1,1,119,171,26
1,1,87,172,2
1,1,95,173,7
1,1,112,174,18
1,1,101,175,23
1,1,118,176,3
1,1,113,177,3
1,1,83,178,25
1,1,100,179,15
1,1,80,180,21
1,1,98,181,10
1,1,106,182,13
1,1,100,183,10
1,1,102,184,7
1,1,126,185,27
1,1,130,186,20
1,1,111,187,9
1,1,125,188,24
1,1,113,189,14
1,1,105,190,13
1,1,90,191,23
1,1,118,192,4
1,1,104,193,26
1,1,123,194,29
1,1,97,195,4
1,1,89,196,18
1,1,113,197,12
1,1,80,198,21
1,1,99,199,1
1,1,105,200,12
1,1,86,201,23
1,1,96,202,29
1,1,92,203,15
1,1,109,204,28
1,1,83,205,19
1,1,117,206,26
1,1,87,207,18
1,1,94,208,18
1,1,119,209,8
1,1,99,210,21
1,1,82,211,24
1,1,117,212,11
1,1,126,213,6
1,1,105,214,2
1,1,117,215,25
1,1,118,216,23
1,1,127,217,2
1,1,113,218,22
1,1,99,219,21
1,1,122,220,19
1,1,87,221,13
1,1,104,222,4
1,1,106,223,9
1,1,82,224,9
1,1,122,225,3
1,1,89,226,24
1,1,80,227,11
1,1,108,228,5
1,1,117,229,22
1,1,129,230,24
1,1,84,231,20
1,1,103,232,8
1,1,121,233,24
1,1,119,234,14
1,1,121,235,25
1,1,122,236,27
1,1,118,237,16
1,1,98,238,30
1,1,81,239,21
1,1,103,240,23
1,1,111,241,19
1,1,122,242,6
1,1,82,243,20
1,1,124,244,29
1,1,116,245,9
1,1,105,246,26
1,1,95,247,8
1,1,115,248,20
1,1,100,249,12
1,1,114,250,30
1,1,97,251,27
1,1,115,252,26
1,1,121,253,14
1,1,126,254,20
1,1,118,255,27
1,1,84,256,17
1,1,88,257,22
1,1,90,258,8
1,1,93,259,22
1,1,113,260,23
1,1,105,261,12
1,1,104,262,21
1,1,82,263,13
1,1,96,264,8
1,1,90,265,11
1,1,122,266,13
1,1,119,267,26
1,1,113,268,8
1,1,90,269,13
1,1,116,270,18
1,1,122,271,3
1,1,86,272,10
1,1,123,273,27
1,1,102,274,18
1,1,125,275,27
1,1,128,276,12
1,1,81,277,1
1,1,103,278,4
1,1,94,279,3
1,1,116,280,8
1,1,115,281,14
1,1,121,282,30
1,1,82,283,28
1,1,85,284,8
1,1,91,285,3
1,1,84,286,13
1,1,123,287,26
1,1,100,288,11
1,1,129,289,20
1,1,92,290,22
1,1,100,291,13
1,1,103,292,2
1,1,122,293,22
1,1,86,294,11
1,1,121,295,18
1,1,80,296,18
1,1,95,297,10
1,1,98,298,21
1,1,128,299,11
1,1,100,300,30
1,1,109,301,14
1,1,97,302,22
1,1,120,303,15
1,1,109,304,12
1,1,101,305,2
1,1,116,306,19
1,1,116,307,7
1,1,96,308,1
1,1,93,309,8
1,1,123,310,16
1,1,97,311,6
1,1,114,312,8
1,1,103,313,2
1,1,101,314,28
1,1,99,315,10
1,1,84,316,17
1,1,109,317,9
1,1,84,318,4
1,1,107,319,11
1,1,94,320,7
1,1,111,321,13
1,1,113,322,24
1,1,103,323,18
1,1,105,324,16
1,1,97,325,15
1,1,128,326,8
1,1,126,327,10
1,1,99,328,4
1,1,85,329,7
1,1,115,330,27
1,1,96,331,16
1,1,126,332,26
1,1,105,333,27
1,1,124,334,9
1,1,86,335,23
1,1,119,336,12
1,1,104,337,30
1,1,109,338,5
1,1,94,339,4
1,1,101,340,27
1,1,101,341,8
1,1,102,342,9
1,1,96,343,20
1,1,106,344,5
1,1,97,345,14
1,1,107,346,9
1,1,115,347,3
1,1,128,348,6
1,1,102,349,6
1,1,121,350,24
1,1,122,351,7
1,1,94,352,19
1,1,110,353,8
1,1,113,354,23
1,1,91,355,26
1,1,113,356,9
1,1,125,357,4
1,1,103,358,10
1,1,110,359,22
1,1,81,360,13
1,1,89,361,20
1,1,115,362,16
1,1,81,363,17
1,1,93,364,27
1,1,129,365,7
