minutes,starter,plays,isPlayedBy
38,1,1,316
4,0,2,14
37,1,3,358
17,1,4,500
37,0,5,48
46,1,6,208
36,1,7,252
20,0,8,427
43,1,9,99
33,0,10,254
25,0,11,39
47,1,12,260
26,0,13,202
28,0,14,446
5,1,15,449
32,1,16,48
36,1,17,417
36,0,18,395
9,0,19,361
47,1,20,250
20,1,21,158
13,0,22,105
28,1,23,212
16,0,24,186
32,0,25,190
19,0,26,369
15,0,27,172
22,1,28,457
23,0,29,8
7,1,30,223
4,0,31,227
24,1,32,480
32,1,33,513
13,0,34,254
26,0,35,353
27,1,36,382
33,0,37,100
19,1,38,13
4,1,39,90
48,1,40,119
37,0,41,46
46,1,42,363
0,0,43,87
5,0,44,391
6,0,45,313
18,1,46,464
1,1,47,356
39,0,48,94
1,1,49,80
13,0,50,58
14,0,51,482
47,1,52,410
45,1,53,122
22,1,54,279
32,1,55,443
36,0,56,515
31,1,57,470
13,1,58,108
14,1,59,440
30,1,60,35
8,1,61,366
43,0,62,30
6,0,63,103
1,0,64,81
26,0,65,434
32,1,66,354
3,1,67,232
45,1,68,18
14,0,69,293
41,0,70,157
33,0,71,297
38,1,72,396
34,0,73,1
29,1,74,225
28,1,75,408
17,0,76,295
4,0,77,197
16,0,78,20
39,1,79,298
36,0,80,223
35,0,81,526
48,1,82,55
15,0,83,124
9,1,84,134
17,0,85,525
26,0,86,228
22,1,87,498
11,0,88,237
39,0,89,372
41,0,90,521
5,0,91,89
32,0,92,96
3,0,93,506
34,1,94,158
43,1,95,409
41,1,96,51
40,1,97,466
6,0,98,416
37,1,99,407
8,1,100,401
44,0,101,238
24,0,102,517
7,0,103,312
7,0,104,228
22,0,105,79
26,1,106,14
15,0,107,73
48,0,108,505
41,1,109,384
41,0,110,311
45,1,111,283
31,0,112,75
34,0,113,199
44,0,114,507
35,1,115,173
36,0,116,139
47,0,117,212
47,1,118,93
28,1,119,378
46,0,120,290
4,0,121,84
46,1,122,476
17,0,123,15
15,0,124,370
23,0,125,159
12,1,126,103
0,1,127,130
48,1,128,252
31,0,129,444
48,0,130,296
22,1,131,471
43,0,132,97
29,1,133,36
28,0,134,92
44,1,135,249
35,0,136,239
16,1,137,116
20,1,138,72
13,1,139,171
46,0,140,286
19,1,141,485
17,1,142,25
21,0,143,203
4,1,144,192
18,1,145,439
4,1,146,493
1,0,147,39
34,1,148,371
16,0,149,461
41,0,150,513
27,0,151,335
2,0,152,248
8,1,153,295
3,1,154,405
23,0,155,477
30,0,156,361
32,0,157,60
5,0,158,267
19,1,159,300
4,1,160,293
42,0,161,242
22,0,162,253
42,0,163,161
35,1,164,309
3,1,165,25
33,1,166,441
12,1,167,101
12,1,168,381
12,1,169,433
32,0,170,235
12,0,171,263
16,1,172,483
43,0,173,391
32,0,174,347
10,0,175,330
36,0,176,250
30,1,177,292
2,1,178,101
25,0,179,136
47,1,180,180
47,0,181,229
30,0,182,221
4,1,183,443
31,1,184,482
19,1,185,477
22,0,186,159
38,0,187,397
33,0,188,510
26,0,189,521
33,0,190,341
37,0,191,217
3,0,192,499
13,1,193,51
28,0,194,524
25,1,195,350
11,1,196,198
33,0,197,139
23,0,198,418
5,0,199,248
21,1,200,271
18,0,201,519
25,0,202,377
7,1,203,101
18,1,204,179
41,0,205,191
2,0,206,278
36,1,207,349
3,0,208,200
26,1,209,236
9,1,210,346
6,1,211,114
48,1,212,436
13,0,213,124
26,1,214,253
45,1,215,345
47,1,216,210
31,0,217,522
18,0,218,152
16,1,219,440
30,0,220,125
39,1,221,338
45,0,222,122
42,1,223,68
28,1,224,274
27,1,225,80
1,0,226,409
8,0,227,218
38,1,228,217
8,1,229,101
0,1,230,148
39,1,231,216
38,1,232,183
46,1,233,499
44,1,234,453
44,1,235,335
30,1,236,133
30,0,237,67
18,1,238,107
21,0,239,155
27,1,240,117
37,0,241,189
0,1,242,85
43,0,243,515
45,0,244,85
24,1,245,449
14,1,246,515
31,0,247,452
43,1,248,416
40,1,249,68
7,1,250,264
34,1,251,256
48,0,252,274
46,0,253,509
3,0,254,510
16,0,255,368
14,0,256,51
8,0,257,451
23,0,258,521
38,1,259,55
8,0,260,104
16,0,261,486
16,1,262,54
35,0,263,477
14,0,264,16
0,0,265,503
2,0,266,287
32,1,267,324
27,1,268,173
17,1,269,492
43,1,270,143
21,1,271,43
26,0,272,330
9,1,273,153
3,1,274,322
13,1,275,365
18,0,276,308
21,0,277,9
16,1,278,24
42,1,279,27
31,0,280,434
3,0,281,430
20,0,282,251
6,0,283,193
24,0,284,485
14,1,285,441
47,1,286,514
27,1,287,412
33,0,288,184
18,0,289,33
48,1,290,265
27,1,291,169
3,0,292,351
12,0,293,148
0,0,294,421
45,0,295,448
17,1,296,391
31,0,297,147
3,1,298,419
12,0,299,26
0,0,300,5
5,0,301,228
33,1,302,333
19,1,303,238
42,1,304,292
13,0,305,195
14,0,306,194
46,0,307,41
27,0,308,244
38,1,309,449
7,1,310,61
3,1,311,253
39,1,312,258
42,1,313,259
6,1,314,443
8,0,315,519
25,1,316,460
41,1,317,46
9,0,318,362
42,0,319,206
34,1,320,185
41,1,321,123
1,1,322,79
11,0,323,237
22,1,324,3
11,1,325,487
44,1,326,55
46,1,327,371
10,1,328,37
9,1,329,313
38,1,330,13
1,0,331,320
17,1,332,312
0,0,333,145
29,0,334,29
45,1,335,388
1,1,336,381
45,1,337,18
6,1,338,21
0,1,339,445
11,0,340,459
35,1,341,115
31,0,342,350
39,1,343,10
0,1,344,103
30,1,345,80
2,1,346,131
3,1,347,342
10,1,348,167
46,1,349,192
26,0,350,242
18,1,351,35
29,0,352,444
34,1,353,378
7,1,354,201
28,0,355,145
17,0,356,186
41,0,357,370
45,1,358,525
21,1,359,367
22,0,360,211
46,0,361,360
3,1,362,446
8,1,363,375
0,0,364,4
31,1,365,159
40,0,366,265
29,0,367,490
19,1,368,494
32,1,369,83
20,0,370,482
32,1,371,291
27,1,372,441
27,0,373,359
24,1,374,136
20,1,375,96
25,0,376,320
18,1,377,514
44,1,378,9
1,1,379,3
17,1,380,100
32,0,381,142
15,1,382,60
41,1,383,193
11,0,384,454
30,1,385,112
28,1,386,495
27,1,387,477
13,1,388,109
44,1,389,55
3,0,390,436
11,0,391,299
3,1,392,437
15,1,393,128
39,1,394,78
1,0,395,508
36,1,396,340
32,0,397,409
32,1,398,519
15,0,399,518
26,0,400,352
5,1,401,39
32,1,402,439
38,0,403,335
15,1,404,211
3,0,405,212
35,1,406,486
31,1,407,143
3,1,408,418
25,0,409,387
42,0,410,221
27,1,411,89
29,0,412,198
24,1,413,220
20,1,414,42
32,1,415,398
39,1,416,56
33,0,417,224
37,1,418,394
1,1,419,214
43,0,420,169
0,0,421,15
33,1,422,474
47,0,423,210
6,0,424,148
33,0,425,213
10,1,426,112
43,0,427,311
38,0,428,289
36,0,429,201
40,0,430,49
36,0,431,5
17,0,432,279
5,0,433,28
38,1,434,157
22,0,435,425
0,0,436,178
29,0,437,312
13,1,438,385
41,0,439,220
19,0,440,151
12,1,441,396
45,0,442,85
28,0,443,464
24,1,444,230
36,0,445,226
45,1,446,43
25,1,447,379
8,1,448,436
7,1,449,303
37,0,450,16
12,1,451,244
29,1,452,507
5,1,453,56
19,1,454,233
6,1,455,109
28,1,456,4
37,1,457,283
45,0,458,201
4,0,459,265
44,1,460,403
45,1,461,477
48,1,462,318
23,1,463,380
46,1,464,156
13,1,465,377
35,0,466,277
19,1,467,1
17,1,468,346
46,1,469,286
25,1,470,132
12,0,471,74
8,0,472,253
8,1,473,314
3,1,474,469
7,1,475,55
4,1,476,113
22,0,477,37
8,1,478,164
17,0,479,165
0,1,480,32
8,0,481,459
40,1,482,456
21,0,483,17
38,0,484,107
38,1,485,442
23,0,486,275
5,1,487,304
3,1,488,80
48,0,489,207
18,0,490,188
38,0,491,140
41,1,492,421
13,0,493,232
18,0,494,195
47,1,495,242
2,1,496,437
1,1,497,313
18,1,498,211
20,0,499,298
22,1,500,420
39,0,501,106
25,0,502,279
23,0,503,176
23,1,504,308
12,1,505,35
33,1,506,417
23,1,507,119
17,0,508,164
44,1,509,423
13,0,510,438
22,0,511,413
10,1,512,108
31,0,513,468
25,1,514,57
34,1,515,84
2,1,516,262
12,1,517,513
10,0,518,24
42,0,519,446
31,0,520,474
10,0,521,110
47,1,522,86
27,1,523,420
24,1,524,258
35,0,525,52
45,0,526,244
2,1,527,239
40,0,528,474
26,1,529,127
23,1,530,167
38,1,531,481
33,0,532,117
8,0,533,385
13,0,534,210
25,0,535,473
45,0,536,209
18,0,537,56
10,0,538,360
29,1,539,320
16,1,540,54
40,1,541,479
33,1,542,42
4,0,543,169
9,0,544,67
44,1,545,447
40,1,546,521
48,1,547,322
7,0,548,385
8,0,549,332
8,1,550,493
20,0,551,40
11,1,552,221
24,1,553,165
44,1,554,268
5,1,555,4
0,0,556,17
46,0,557,356
43,1,558,30
38,0,559,99
10,1,560,234
39,1,561,498
18,1,562,473
2,0,563,333
32,0,564,464
2,1,565,467
33,1,566,239
19,0,567,202
23,0,568,28
4,0,569,175
33,1,570,221
26,1,571,403
3,1,572,18
43,1,573,239
1,0,574,324
27,1,575,472
29,0,576,332
27,1,577,373
2,0,578,428
30,1,579,487
14,0,580,11
35,0,581,415
20,0,582,228
45,1,583,164
6,0,584,82
7,1,585,385
38,0,586,334
31,0,587,37
34,0,588,212
45,0,589,165
31,1,590,207
44,1,591,172
45,0,592,318
27,1,593,266
34,0,594,358
43,1,595,224
16,1,596,286
8,1,597,499
33,0,598,19
0,1,599,244
17,1,600,20
32,0,601,400
42,0,602,507
37,0,603,221
32,1,604,128
12,0,605,131
35,1,606,294
39,1,607,404
28,1,608,373
10,0,609,435
35,1,610,58
40,0,611,525
35,1,612,414
39,0,613,140
25,0,614,155
6,1,615,262
31,0,616,374
39,1,617,416
11,0,618,320
22,1,619,399
39,0,620,270
46,0,621,416
41,0,622,213
13,0,623,466
44,0,624,349
35,0,625,148
8,1,626,181
24,1,627,477
26,1,628,68
29,1,629,246
35,0,630,72
24,1,631,216
0,1,632,104
44,1,633,384
8,0,634,438
31,1,635,484
32,0,636,285
19,0,637,62
23,1,638,411
21,1,639,24
8,0,640,209
46,0,641,523
20,1,642,68
28,0,643,312
18,0,644,31
31,0,645,129
30,0,646,306
0,1,647,84
6,1,648,171
14,0,649,390
44,1,650,378
1,1,651,58
28,0,652,418
43,0,653,186
46,0,654,180
40,0,655,92
14,1,656,198
29,1,657,456
48,1,658,429
5,0,659,316
35,0,660,266
8,1,661,48
23,1,662,290
12,1,663,378
30,0,664,24
22,1,665,159
27,0,666,439
2,0,667,450
35,0,668,164
28,1,669,477
15,0,670,207
6,0,671,405
16,0,672,96
41,1,673,401
24,0,674,525
46,1,675,302
16,1,676,230
35,1,677,441
16,0,678,347
33,1,679,124
2,1,680,183
3,1,681,504
47,0,682,31
9,0,683,138
7,0,684,510
35,0,685,301
47,1,686,309
2,0,687,136
33,0,688,127
13,1,689,288
19,0,690,217
38,0,691,275
20,1,692,88
23,1,693,157
46,0,694,477
35,0,695,516
5,1,696,428
43,1,697,99
36,1,698,63
44,0,699,106
23,1,700,264
21,0,701,341
20,1,702,76
34,1,703,281
26,0,704,359
44,1,705,35
37,0,706,468
0,0,707,346
32,0,708,256
17,0,709,146
9,0,710,512
15,0,711,213
29,0,712,26
15,1,713,133
3,0,714,16
14,1,715,310
14,1,716,101
16,1,717,178
42,1,718,292
47,1,719,261
8,1,720,90
8,1,721,327
9,0,722,207
24,1,723,311
25,0,724,128
24,0,725,185
33,0,726,225
31,1,727,361
12,0,728,362
11,0,729,386
43,0,730,462
13,0,731,157
28,0,732,375
1,0,733,70
34,1,734,113
4,0,735,92
19,1,736,136
23,1,737,37
19,1,738,18
25,0,739,496
29,1,740,515
14,1,741,56
6,1,742,451
40,0,743,138
2,0,744,47
36,1,745,359
40,1,746,277
31,1,747,513
25,1,748,47
27,0,749,311
8,1,750,15
34,1,751,471
36,1,752,363
32,1,753,438
47,0,754,488
2,1,755,327
9,1,756,333
0,1,757,29
4,0,758,297
32,1,759,431
6,0,760,258
32,0,761,451
7,0,762,178
14,1,763,402
38,0,764,159
16,1,765,244
39,0,766,108
32,1,767,373
5,1,768,449
28,0,769,447
15,1,770,348
48,1,771,56
16,0,772,162
30,1,773,76
8,1,774,180
29,0,775,106
18,0,776,510
30,0,777,164
29,1,778,424
15,0,779,291
5,1,780,462
31,0,781,330
11,0,782,141
27,0,783,337
15,0,784,412
46,1,785,175
17,1,786,221
6,1,787,409
46,1,788,449
26,0,789,225
40,1,790,352
4,1,791,96
29,1,792,338
41,0,793,441
46,1,794,79
27,0,795,31
24,1,796,34
11,0,797,32
11,1,798,478
24,1,799,198
14,0,800,74
47,0,801,368
23,0,802,262
6,0,803,478
8,1,804,211
15,0,805,176
20,0,806,177
34,1,807,41
46,1,808,6
5,1,809,153
8,1,810,415
11,0,811,4
2,0,812,153
33,1,813,522
31,0,814,121
33,0,815,252
17,0,816,37
48,0,817,205
47,1,818,208
7,1,819,72
9,0,820,34
12,0,821,330
40,1,822,73
25,1,823,92
23,1,824,248
22,1,825,360
28,0,826,210
24,1,827,227
33,0,828,437
5,0,829,47
41,0,830,140
19,1,831,33
33,0,832,12
40,0,833,30
8,0,834,435
17,1,835,362
17,1,836,384
2,1,837,355
10,0,838,522
13,1,839,236
24,0,840,282
20,1,841,259
45,1,842,193
12,0,843,407
41,0,844,174
43,0,845,446
32,1,846,23
5,0,847,467
38,1,848,360
7,1,849,371
5,0,850,326
16,0,851,467
34,1,852,101
35,0,853,334
36,1,854,177
7,0,855,167
10,0,856,252
46,0,857,286
12,0,858,244
17,1,859,207
16,0,860,5
42,1,861,486
9,1,862,312
2,0,863,156
8,1,864,389
11,0,865,320
45,1,866,13
44,0,867,196
18,1,868,466
0,1,869,197
15,1,870,468
6,0,871,159
41,1,872,389
44,1,873,205
42,0,874,472
35,0,875,289
19,1,876,423
24,1,877,118
33,0,878,352
36,0,879,189
25,1,880,155
14,1,881,205
3,1,882,287
13,0,883,37
48,0,884,82
24,1,885,288
27,1,886,412
19,0,887,5
19,1,888,283
40,1,889,17
32,1,890,61
31,0,891,77
26,1,892,392
9,1,893,21
8,1,894,305
46,0,895,364
4,1,896,492
15,0,897,93
45,1,898,48
10,1,899,162
21,0,900,232
43,1,901,108
21,1,902,344
2,1,903,247
39,1,904,160
42,1,905,468
0,1,906,487
4,1,907,398
10,1,908,249
34,1,909,238
42,1,910,465
14,0,911,53
29,0,912,458
12,1,913,476
7,0,914,29
41,1,915,6
15,0,916,453
24,0,917,200
42,0,918,297
38,0,919,438
25,0,920,368
43,0,921,179
7,0,922,230
38,1,923,347
5,0,924,408
5,1,925,157
44,1,926,51
4,0,927,286
5,0,928,190
37,1,929,213
41,0,930,157
23,1,931,298
22,0,932,456
22,1,933,406
24,1,934,115
31,1,935,354
4,0,936,394
40,1,937,105
25,0,938,261
18,1,939,149
41,1,940,306
24,1,941,418
38,1,942,117
47,0,943,39
21,1,944,51
16,0,945,458
12,1,946,215
47,1,947,461
20,1,948,234
34,1,949,272
16,0,950,18
12,0,951,394
42,1,952,266
26,0,953,281
7,0,954,182
35,0,955,367
44,0,956,207
0,1,957,42
32,0,958,244
22,1,959,33
34,1,960,139
0,0,961,376
24,1,962,511
14,1,963,372
33,1,964,64
2,0,965,378
18,1,966,170
0,1,967,174
3,1,968,29
26,0,969,182
26,1,970,336
31,1,971,425
11,0,972,363
11,1,973,88
39,1,974,155
34,1,975,86
38,0,976,95
33,0,977,438
29,0,978,80
42,1,979,281
12,0,980,482
22,1,981,502
10,1,982,343
25,0,983,219
30,0,984,242
35,1,985,215
32,0,986,57
22,1,987,233
47,1,988,302
23,0,989,425
42,1,990,414
44,1,991,106
10,1,992,397
19,0,993,344
26,0,994,95
10,0,995,130
44,1,996,195
9,0,997,365
15,0,998,222
40,1,999,393
10,0,1000,132
20,1,1001,270
2,1,1002,105
18,0,1003,298
8,0,1004,139
38,1,1005,431
24,0,1006,449
20,0,1007,282
37,0,1008,402
46,0,1009,496
4,1,1010,246
34,0,1011,2
45,1,1012,145
45,0,1013,387
39,1,1014,464
22,0,1015,293
13,0,1016,428
9,0,1017,114
5,1,1018,389
36,0,1019,410
37,0,1020,28
43,1,1021,294
31,1,1022,134
21,0,1023,350
5,0,1024,360
33,0,1025,387
37,0,1026,118
7,1,1027,390
28,1,1028,58
32,0,1029,175
25,0,1030,236
12,1,1031,489
41,0,1032,265
43,0,1033,439
12,0,1034,451
28,0,1035,147
12,0,1036,452
13,1,1037,233
8,1,1038,143
0,1,1039,421
48,1,1040,119
48,1,1041,365
28,0,1042,291
36,1,1043,264
13,0,1044,281
19,1,1045,88
15,0,1046,162
22,1,1047,301
41,0,1048,82
13,0,1049,95
24,0,1050,196
38,0,1051,197
20,0,1052,145
5,1,1053,352
30,0,1054,512
41,0,1055,144
0,0,1056,122
46,0,1057,304
7,1,1058,458
3,1,1059,78
41,1,1060,155
16,0,1061,430
39,0,1062,94
47,1,1063,14
16,1,1064,94
48,1,1065,513
1,1,1066,141
17,1,1067,61
40,1,1068,308
20,1,1069,28
12,0,1070,53
44,1,1071,346
34,0,1072,275
38,1,1073,315
42,1,1074,417
24,0,1075,400
8,1,1076,257
7,0,1077,375
45,1,1078,476
17,1,1079,470
2,1,1080,295
7,0,1081,504
36,0,1082,301
8,1,1083,47
36,1,1084,324
31,0,1085,323
36,1,1086,45
20,0,1087,336
27,1,1088,222
3,1,1089,186
20,1,1090,168
24,1,1091,477
42,1,1092,164
43,0,1093,372
0,1,1094,174
44,1,1095,66
8,1,1096,355
46,1,1097,412
33,1,1098,373
16,1,1099,482
26,0,1100,39
30,1,1101,46
18,0,1102,86
5,1,1103,191
16,0,1104,167
25,1,1105,118
12,1,1106,17
48,1,1107,471
36,0,1108,337
29,0,1109,6
29,1,1110,373
13,1,1111,242
0,1,1112,254
30,0,1113,433
20,0,1114,167
36,1,1115,369
34,0,1116,342
20,0,1117,362
2,1,1118,321
29,0,1119,505
31,1,1120,188
41,1,1121,522
40,1,1122,314
37,1,1123,432
39,0,1124,376
25,0,1125,352
1,1,1126,175
22,1,1127,464
39,1,1128,229
33,0,1129,45
9,0,1130,241
27,0,1131,59
2,1,1132,113
27,0,1133,335
45,0,1134,201
24,0,1135,5
25,0,1136,140
14,0,1137,395
29,0,1138,385
