id,points,rebounds,assists,blocks,steals,turnover,fouls,fieldGoalsPercentage,threePointsPercentage,freeThrowsPercentage,partOfteam,partOfgame
111,81,45,52,20,17,12,16,0.60,0.40,0.82,12,1
112,127,52,59,16,10,13,12,0.59,0.25,0.89,5,2
113,88,41,52,13,18,15,17,0.42,0.26,0.86,5,3
114,97,50,52,18,11,17,18,0.65,0.43,0.85,15,4
115,130,41,60,10,17,14,11,0.67,0.46,0.85,9,5
116,115,60,44,10,20,19,17,0.52,0.24,0.87,24,6
117,130,48,52,12,14,16,20,0.59,0.22,0.73,11,7
118,97,54,59,18,15,17,12,0.67,0.44,0.79,20,8
119,127,55,56,11,15,20,19,0.62,0.22,0.83,4,9
120,120,60,40,11,10,18,12,0.60,0.46,0.83,23,10
121,116,48,56,19,13,16,10,0.50,0.31,0.71,10,11
122,102,40,49,20,13,15,18,0.65,0.24,0.84,24,12
123,106,60,60,11,18,15,16,0.42,0.22,0.87,30,13
124,113,49,43,18,17,20,17,0.47,0.28,0.73,16,14
125,127,45,40,14,14,18,18,0.47,0.26,0.71,17,15
126,130,50,45,17,20,19,16,0.44,0.37,0.89,6,16
127,124,42,59,16,19,10,14,0.62,0.22,0.83,29,17
128,98,57,60,14,11,17,11,0.61,0.40,0.80,7,18
129,127,42,52,11,12,12,15,0.59,0.40,0.86,27,19
130,92,43,59,16,13,12,18,0.59,0.21,0.90,16,20
131,112,43,47,18,20,17,13,0.45,0.34,0.73,18,21
132,105,55,42,19,10,20,19,0.52,0.33,0.80,29,22
133,88,53,50,14,12,10,18,0.68,0.20,0.89,22,23
134,118,47,46,16,15,12,13,0.51,0.31,0.76,2,24
135,116,55,49,11,20,12,17,0.61,0.30,0.78,21,25
136,109,50,40,15,17,12,16,0.64,0.35,0.72,12,26
137,89,54,40,14,12,12,16,0.62,0.45,0.73,13,27
138,93,47,58,14,16,15,20,0.60,0.47,0.85,15,28
139,128,51,50,18,14,16,15,0.66,0.21,0.87,4,29
140,127,41,53,20,10,20,10,0.48,0.35,0.80,2,30
141,122,60,48,19,14,17,19,0.45,0.45,0.72,25,31
142,94,45,56,15,16,16,17,0.41,0.23,0.81,4,32
143,89,46,42,11,19,13,11,0.58,0.34,0.83,13,33
144,83,56,44,20,14,13,10,0.44,0.43,0.84,18,34
145,115,51,43,13,20,20,13,0.56,0.36,0.88,5,35
146,95,46,49,18,10,14,12,0.65,0.40,0.82,23,36
147,117,58,45,18,13,10,18,0.46,0.49,0.73,30,37
148,107,45,46,11,11,15,13,0.45,0.49,0.71,14,38
149,116,50,58,18,13,17,17,0.52,0.31,0.86,25,39
150,100,60,50,17,13,16,10,0.70,0.39,0.72,29,40
151,91,47,43,17,17,12,19,0.61,0.46,0.76,21,41
152,110,57,43,16,13,18,19,0.66,0.26,0.81,12,42
153,97,52,58,12,17,11,16,0.43,0.23,0.87,28,43
